stock1, stock2, p_value
PLIZCJR00017, PLLWBGD00016, 2.8529209421384294e-24
PLESTHN00018, PLIDMSA00044, 5.773359436815823e-24
PLINTKS00013, PLTWRNV00013, 1.0559998301498595e-23
PLESTHN00018, PLKOMPP00017, 2.343571657781276e-23
PLELPO000016, PLLUBAW00013, 4.036234349618097e-23
PLGTC0000037, PLSFNKS00011, 5.426043800492974e-23
PLESTHN00018, PLSOFTB00016, 9.343538708793991e-23
PLESTHN00018, PLK2ITR00010, 1.1662858473546272e-22
PLESTHN00018, PLSELNA00010, 1.2128541601534414e-22
HU0000089198, PLALIOR00045, 1.2692261655275678e-22
PLESTHN00018, PLMUZA000019, 1.4762192372778345e-22
PLESTHN00018, PLPONAR00012, 2.573216658285259e-22
PLESTHN00018, PLINTKS00013, 3.5683781067235443e-22
PLESTHN00018, PLKGHM000017, 4.0495848188311994e-22
PLESTHN00018, PLKMPTR00012, 4.234853810513694e-22
PLECHPS00019, PLKRKCH00019, 4.39006533063375e-22
LU0122624777, PLTRKPL00014, 6.818800789251446e-22
PLESTHN00018, PLMNNCP00011, 7.821347411182043e-22
PLPEPES00018, PLRFMET00016, 1.1704481581498341e-21
PLPZU0000011, PLWTCHN00030, 1.214772424456761e-21
PLATM0000021, PLRNBWT00031, 1.8575618196517327e-21
LU0122624777, PLKRKCH00019, 5.316691699561819e-21
PLECHPS00019, PLKPPD000017, 6.522528611223558e-21
PLPMPOL00031, PLRNBWT00031, 7.288799972411915e-21
PLESTHN00018, PLIPOPM00011, 1.228509069730876e-20
LU0122624777, PLINTRL00013, 1.4243389856744223e-20
LU0122624777, PLCTINT00018, 2.0260314417168505e-20
PLRELPL00014, PLSTPRK00019, 2.1434490692045715e-20
PLATM0000021, PLWRWCK00013, 2.2207848721544056e-20
PLFAMUR00012, PLMSTSD00019, 2.4758046913562223e-20
PLECHPS00019, PLIZCJR00017, 4.9934645838700537e-20
PLPONAR00012, PLRFMET00016, 7.758414830956112e-20
PLFAMUR00012, PLPEPES00018, 7.877443288157115e-20
LU0122624777, PLFAMUR00012, 1.1863674211754204e-19
PLATM0000021, PLINTRL00013, 1.3190080007129555e-19
LU0122624777, PLMWTRD00013, 1.5490456610807435e-19
PLESTHN00018, PLINTBD00014, 2.817594123827788e-19
PLIDMSA00044, PLOPNPL00013, 3.67845889616678e-19
PLECHPS00019, PLZRWZW00012, 3.9162238479425453e-19
PLACTIN00018, PLAPATR00018, 9.277773926001625e-19
LU0122624777, PLOPNPL00013, 1.1355609148543363e-18
LU0122624777, PLABS0000018, 1.7616198999343652e-18
PLATM0000021, PLMWTRD00013, 4.679989163406361e-18
PLPMPOL00031, PLZSTAL00012, 5.85254185262687e-18
PLELKOP00013, PLZRWZW00012, 8.604739242531036e-18
LU0122624777, PLNTSYS00013, 9.053729858719863e-18
PLPONAR00012, PLRNBWT00031, 9.49057217509888e-18
PLATTFI00018, USU827061099, 1.3928944400074355e-17
LU0122624777, LU0327357389, 1.580587467732064e-17
PLELZAB00010, PLTRKPL00014, 2.804422881335487e-17
PLZRWZW00012, PLZSTAL00012, 3.2431761754097817e-17
LU0122624777, PLADVPL00029, 4.3107675764022146e-17
PLECHPS00019, PLWDM0000029, 7.571075996841697e-17
PLDGA0000019, PLNTSYS00013, 1.5311158143824176e-16
PLBSK0000017, PLWNDMB00010, 2.461738817997409e-16
LU0122624777, PLSKLNW00011, 2.580469030867536e-16
PLELKOP00013, PLMWTRD00013, 3.3733266739114105e-16
PLFAMUR00012, PLHELIO00014, 5.035192502325747e-16
AT0000827209, PLTRNSU00013, 5.151044421363931e-16
PLFAMUR00012, PLMKRNP00015, 7.071045103751575e-16
LU0122624777, PLERGIN00015, 8.234396836962735e-16
PLELKOP00013, PLRNBWT00031, 8.295160585651314e-16
PLIDMSA00044, PLZSTAL00012, 1.2515489360313733e-15
PLDGA0000019, PLLCCRP00017, 1.4648356710672846e-15
PLBSK0000017, PLVOXEL00014, 1.7911975563728697e-15
PLFERUM00014, PLMKRNP00015, 2.0275403247582727e-15
PLSTLEX00019, PLTALEX00017, 2.3590115515979594e-15
LU0646112838, PLSNTFG00017, 2.7065663844522532e-15
PLELKOP00013, PLWRWCK00013, 3.0913320052430663e-15
PLBSK0000017, PLZAMET00010, 3.4678211556034804e-15
LU0122624777, PLRNBWT00031, 4.4866390946016805e-15
PLATM0000021, PLKRKCH00019, 6.138346224457387e-15
