stock1, stock2, p_value, crossings
PLRESBD00032, PLTRNSP00013, 2.034612769093574e-06, 0.044
PLAPSEN00011, PLELEKT00016, 5.002230698795317e-06, 0.04399057344854674
PLLBPRT00013, PLLPP0000011, 9.552260004649644e-06, 0.04398340248962656
PLGRNKT00019, PLSEKO000014, 3.413905165944383e-07, 0.04388389771941949
NL0011882741, PLRAFAK00018, 2.326102423246924e-05, 0.043859649122807015
PLCMP0000017, PLKRINK00014, 1.6598203743367266e-05, 0.043713163064833006
PLFSING00010, PLWDM0000029, 2.729771156593162e-06, 0.04360827311238475
PLKRVTM00010, PLMDNCE00016, 1.0396311860243963e-05, 0.043478260869565216
NL0009508712, PLRNKPR00014, 2.5725891107954575e-07, 0.0432348367029549
PLCMP0000017, PLKMPTR00012, 7.349751662082716e-06, 0.04305864884929473
PLGMNGF00017, PLWDMCP00013, 2.437842835015955e-07, 0.04305043050430504
PLCMP0000017, PLWDM0000029, 2.4524079733206255e-05, 0.04286070271617244
PLCMP0000017, PLPONAR00012, 1.4472456289566911e-06, 0.04282062207072859
NL0011882741, PLULTGM00013, 1.3464999261103798e-05, 0.04266467065868264
PLERGIN00015, PLJWWNT00018, 3.842962369768253e-07, 0.042608695652173914
PLINTBD00014, PLIQPRT00017, 9.212933219435264e-07, 0.04252017380509
PLCMP0000017, PLIDMSA00044, 1.6533634690388278e-05, 0.04250165161858621
PLHDRTR00013, PLOPNPL00013, 1.5174899861232549e-10, 0.042430328897815714
PLDGA0000019, PLMKRNP00015, 1.2516701377756127e-10, 0.04225696140693698
NL0011882741, PLWELTN00012, 5.719505650270359e-06, 0.042214912280701754
NL0011882741, PLRELPL00014, 8.09416349751634e-06, 0.042214912280701754
PLGMSOP00019, PLNFI0500012, 2.640053807585524e-06, 0.042045454545454546
NL0009508712, PLHOGA000041, 1.0232984250550969e-06, 0.041990668740279936
PLCMP0000017, PLLENTX00010, 6.395834491544419e-07, 0.041968470387729016
PLNFI0500012, PLTELL000023, 1.720379081499501e-13, 0.041936203435199645
PLECHPS00019, PLWRKSR00019, 9.3949062591475e-06, 0.04179838426413769
NL0011882741, PLSTLPD00017, 2.2804047977398455e-07, 0.041666666666666664
NL0011882741, PL11BTS00015, 1.1221455042512104e-06, 0.041666666666666664
PLCMP0000017, PLELEKT00016, 1.0079780091324482e-05, 0.041656516443361755
FR0000060873, PLBRN2400013, 9.274751277919752e-06, 0.041287613715885234
PLPROJP00018, PLSEKO000014, 2.0661590151642047e-08, 0.04113234938301476
PLECHPS00019, PLMWTRD00013, 2.123259943734069e-05, 0.04102693178957966
NL0009508712, PLSTSHL00012, 1.501456498465271e-05, 0.040948275862068964
PLBSK0000017, PLWNDMB00010, 2.461738817997409e-16, 0.04066666666666666
IT0005239360, PLAPLS000016, 1.7468038177462266e-06, 0.04045211183819155
AT0000827209, PLCMP0000017, 2.6292046752133688e-08, 0.040411286465805836
PLFSING00010, PLTRMRX00011, 2.177336069283273e-06, 0.04018826937002172
NL0011882741, PLSFNKS00011, 3.7416899028804375e-06, 0.0400219298245614
PLIZBLK00010, PLMRVDV00011, 1.780457704913494e-05, 0.03986254295532646
PLCMP0000017, PLNTSYS00013, 5.514478788472152e-06, 0.03986220472440945
PLRESBD00032, PLTLKPL00017, 9.82882686211289e-10, 0.039601494396014944
PLGMNGF00017, PLGPW0000017, 1.4626136381607832e-07, 0.03936039360393604
PLHMINW00016, PLLKMDW00049, 1.881430223357692e-06, 0.039305768249106685
IT0005239360, PLWTCHN00030, 7.303948003669691e-07, 0.039262343842950624
PLHDRTR00013, PLNTSYS00013, 5.77518668584678e-07, 0.039124015748031496
PLCMP0000017, PLMKRNP00015, 2.791247469643532e-06, 0.03883732291157792
PLINTGR00013, PLKRKCH00019, 5.314970181601025e-07, 0.038672654690618764
PLERPCO00017, PLTWRNV00013, 3.850520480513978e-06, 0.03850385038503851
PLATTFI00018, USU827061099, 1.3928944400074358e-17, 0.03825554705432287
PLCMP0000017, PLPANVA00013, 1.9880278568481863e-05, 0.03813769192669639
PLHDRTR00013, PLZSTAL00012, 2.550470082950715e-05, 0.03813769192669639
PLGMNGF00017, PLPCCRK00076, 1.1959548215227934e-08, 0.038130381303813035
PLGMNGF00017, PLTWRNV00013, 6.461044767814237e-06, 0.038130381303813035
PLHDRTR00013, PLWDM0000029, 4.96049230021526e-07, 0.038126090206827806
IT0005239360, PLWOJAS00014, 6.000701966399241e-06, 0.0380725758477097
NL0009805613, PLINTSP00038, 5.6520183443537285e-06, 0.03806115810019518
PLBAUMA00017, PLKRKCH00019, 4.078657053028734e-06, 0.03792415169660679
NL0011882741, PLZUE0000015, 3.2999554641410966e-06, 0.03782894736842105
PLERPCO00017, PLMRVDV00011, 1.766823450003346e-05, 0.037800687285223365
PLGTC0000037, PLSTIGR00012, 1.6070047005501809e-07, 0.037584323803405074
PLACTIN00018, PLATPRT00018, 3.778301590005413e-09, 0.037418655097613884
PLPCCEX00010, PLSMFBC00016, 9.738391773100644e-06, 0.03724604966139955
PLINTBD00014, PLPZU0000011, 4.576057221651779e-08, 0.037243947858473
FR0000060873, PLCRPJR00019, 8.677259998951966e-07, 0.036923076923076927
IT0005239360, PLPCCRK00076, 1.4131319464018823e-06, 0.036882807852468766
PLINTBD00014, PLRNKPR00014, 3.58526289730219e-06, 0.03662321539416512
PLFAMUR00012, PLPEPES00018, 7.877443288157115e-20, 0.03625377643504532
NL0011882741, PLCDRL000043, 2.6082212698930364e-06, 0.03618421052631579
PLTRNSU00013, PLUNMST00014, 4.406536366089383e-06, 0.03615872270486029
PLDGA0000019, PLLCCRP00017, 1.4648356710672846e-15, 0.036047081902893574
PLMDCLG00015, PLTSQGM00016, 1.9630388820178678e-07, 0.03602941176470588
PLESTHN00018, PLPRCHM00014, 2.341775652825754e-30, 0.036015574302401036
AT0000827209, PLTRNSU00013, 5.151044421363931e-16, 0.035868005738880916
PLRFMET00016, PLSEKO000014, 8.975763960065352e-06, 0.03576678098971093
PLGMNGF00017, PLZCPLC00036, 1.1509025934649948e-05, 0.03567035670356704
PLCMP0000017, PLZRWZW00012, 7.1426903936853416e-06, 0.03566333808844508
AT0000827209, PLPROJP00018, 4.481591249091175e-07, 0.03562888570062171
PLIDMSA00044, PLRNBWT00031, 8.618055455239274e-11, 0.03546277665995976
PLINCLT00015, PLMRCTR00015, 1.0277715969372702e-05, 0.035260352603526036
PLHDRTR00013, PLTELL000023, 1.0639318207855606e-05, 0.035244256078518846
PLCMP0000017, PLSTPRK00019, 1.5201214214005643e-05, 0.035035775968418455
PLELEKT00016, PLPANVA00013, 2.44418514858043e-08, 0.03467062902426944
PLGMNGF00017, PLGRNKT00019, 1.2826456488653896e-05, 0.03444034440344403
PLHDRTR00013, PLKRKCH00019, 2.7780478811542007e-09, 0.0344311377245509
PLGSPR000014, PLLBT0000013, 7.85827706272112e-06, 0.034338896020539154
PLPCCEX00010, PLPLAYW00015, 5.261199289603708e-07, 0.034324942791762014
PLRFMET00016, PLTRFRM00018, 1.2120337096215118e-07, 0.034296913277805
PLECHPS00019, PLKPPD000017, 6.5225286112235574e-21, 0.03424143964008998
AT0000827209, PLZRWZW00012, 5.80343768554047e-08, 0.034194165471066476
